ID OMM station;Pression station
7005;101070
7005;102720
7005;102750
7005;102720
7005;102240
7005;102100
7005;101660
7005;101130
7005;102280
7005;101970
7005;102280
7005;101960
7005;101860
7005;101290
7005;101100
7005;101460
7005;100570
7005;99520
7005;100740
7005;101680
7005;102150
7005;99910
7005;101260
7005;102540
7005;102130
7005;102560
7005;101930
7005;101320
7005;101630
7005;101480
7005;99860
7005;102120
7005;101590
7005;101820
7005;101780
7005;102260
7005;102510
7005;100030
7005;101480
7005;101750
7005;101970
7005;101520
7005;100570
7005;99690
7005;101580
7005;101400
7005;101710
7005;101490
7005;101520
7005;101840
7005;100800
7005;101660
7005;102430
7005;101730
7005;101570
7005;102330
7005;101350
7005;101300
7005;101910
7005;102580
7005;101230
7005;101400
7005;102190
7005;102490
7005;102690
7005;102110
7005;100290
7005;100420
7005;101500
7005;101470
7005;99630
7005;99810
7005;102190
7005;102050
7005;100980
7005;99510
7005;101730
7005;101340
7005;100960
7005;101190
7005;101260
7005;99980
7005;102180
7005;102260
7005;102670
7005;102400
7005;99990
7005;99870
7005;100000
7005;101560
7005;100240
7005;101290
7005;100220
7005;99370
7005;99530
7005;99510
7005;102780
7005;100920
7005;101590
7005;101310
7005;102400
7005;99600
7005;99820
7005;101230
7005;100940
7005;102580
7005;101090
7005;100090
7005;101360
7005;101610
7005;100510
7005;101940
7005;102750
7005;101410
7005;102570
7005;102360
7005;102010
7005;102260
7005;99760
7005;101780
7015;102100
7015;101760
7015;100600
7015;101610
7015;100510
7015;101700
7015;102980
7015;102180
7015;100210
7015;101550
7015;100900
7015;101290
7015;102270
7015;100120
7015;102080
7015;100970
7015;102140
7015;100690
7015;102640
7015;101740
7015;102410
7015;102730
7015;101710
7015;99930
7015;102120
7015;102990
7015;102000
7015;102440
7015;102570
7015;102740
7015;101620
7015;102320
7015;101690
7015;101850
7015;99800
7015;101840
7015;101420
7015;100710
7015;102420
7015;101550
7015;101170
7015;102720
7015;102870
7015;99850
7015;101690
7015;100270
7015;100300
7015;102310
7015;101770
7015;101530
7015;102790
7015;102700
7015;102570
7015;101590
7015;102470
7015;101630
7015;100070
7015;100400
7015;102010
7015;100440
7015;100550
7015;101730
7015;100130
7015;102530
7015;101420
7015;102120
7015;101930
7015;102590
7015;101860
7015;101330
7015;102440
7015;101510
7015;101820
7015;101420
7015;102480
7015;102310
7015;101890
7015;101240
7015;102550
7015;100040
7015;99890
7015;102440
7015;102060
7015;102570
7015;99820
7015;101640
7015;102180
7015;101710
7015;99970
7015;101970
7015;101540
7015;101840
7015;102220
7015;102070
7015;103030
7015;103020
7015;101980
7015;101720
7015;102720
7015;103020
7015;101640
7015;102590
7015;101210
7015;100370
7015;100270
7015;101370
7015;102650
7015;100150
7015;101230
7015;102950
7015;102830
7015;102910
7015;101560
7015;102590
7015;102720
7015;100870
7015;101800
7015;99720
7015;102570
7015;101120
7020;100880
7020;103600
7020;102250
7020;102180
7020;101690
7020;103550
7020;102500
7020;102110
7020;102180
7020;101950
7020;103030
7020;102090
7020;101550
7020;102290
7020;102750
7020;99680
7020;101590
7020;102300
7020;103410
7020;103460
7020;100470
7020;103040
7020;101600
7020;100470
7020;102420
7020;99900
7020;102080
7020;102220
7020;103290
7020;99920
7020;102200
7020;102180
7020;102850
7020;103010
7020;102760
7020;101780
7020;102220
7020;101900
7020;102020
7020;99930
7020;103620
7020;102500
7020;103600
7020;102500
7020;102330
7020;102700
7020;100450
7020;100910
7020;101790
7020;102070
7020;102890
7020;102660
7020;102410
7020;102280
7020;102180
7020;102500
7020;101450
7020;103590
7020;103390
7020;102160
7020;103460
7020;102900
7020;100960
7020;101040
7020;100550
7020;102690
7020;101710
7020;103080
7020;102210
7020;99960
7020;101240
7020;101530
7020;99920
7020;99790
7020;99900
7020;103520
7020;103620
7020;101930
7020;102530
7020;102290
7020;102770
7020;101960
7020;102040
7020;100580
7020;102800
7020;102250
7020;99820
7020;102940
7020;101920
7020;102050
7020;102430
7020;103250
7020;102230
7020;101280
7020;102680
7020;101210
7020;102090
7020;99890
7020;102760
7020;102340
7020;102390
7020;102660
7020;102680
7020;103210
7020;100030
7020;102670
7020;100290
7020;102680
7020;102460
7020;103600
7020;101810
7020;100060
7020;102460
7020;101810
7020;100820
7020;102180
7020;103500
7020;102700
7020;101530
7020;99690
7027;100670
7027;101790
7027;101070
7027;102230
7027;102540
7027;102100
7027;101940
7027;102900
7027;99640
7027;99430
7027;101770
7027;100290
7027;102930
7027;101630
7027;102360
7027;101450
7027;102940
7027;102050
7027;102050
7027;101930
7027;102710
7027;101740
7027;102800
7027;101900
7027;100670
7027;99510
7027;99510
7027;101680
7027;101550
7027;99490
7027;101710
7027;100690
7027;101250
7027;102370
7027;101360
7027;100200
7027;101730
7027;101360
7027;102910
7027;102020
7027;99640
7027;102910
7027;102150
7027;102340
7027;100490
7027;100060
7027;102470
7027;101190
7027;101670
7027;101690
7027;100870
7027;99550
7027;102230
7027;100860
7027;102040
7027;101680
7027;101350
7027;99940
7027;102080
7027;102960
7027;99990
7027;102130
7027;101750
7027;102270
7027;100430
7027;101870
7027;102740
7027;101370
7027;101890
7027;101330
7027;101590
7027;101580
7027;102940
7027;101530
7027;102470
7027;101670
7027;102810
7027;102310
7027;101680
7027;99770
7027;99830
7027;101060
7027;102040
7027;101650
7027;101490
7027;99810
7027;101820
7027;101750
7027;101490
7027;101650
7027;101100
7027;102940
7027;101910
7027;101500
7027;102530
7027;99740
7027;99710
7027;102110
7027;102090
7027;102890
7027;101850
7027;101330
7027;101190
7027;99770
7027;100050
7027;101600
7027;102000
7027;101710
7027;102650
7027;101730
7027;101530
7027;102440
7027;101090
7027;102650
7027;101980
7027;100050
7027;99520
7027;101600
7027;101510
7027;101980
7037;100630
7037;100120
7037;100430
7037;101460
7037;101220
7037;99430
7037;101250
7037;100750
7037;100030
7037;99040
7037;100210
7037;99750
7037;100770
7037;100420
7037;100950
7037;101290
7037;100830
7037;100810
7037;101460
7037;101780
7037;101050
7037;101090
7037;100830
7037;98910
7037;99050
7037;101570
7037;101370
7037;100590
7037;99620
7037;100640
7037;100570
7037;99030
7037;100380
7037;101190
7037;100990
7037;100640
7037;100500
7037;101020
7037;101010
7037;100660
7037;100910
7037;100540
7037;100670
7037;100810
7037;99960
7037;100780
7037;100370
7037;101750
7037;101830
7037;99360
7037;98810
7037;100670
7037;99250
7037;100930
7037;100970
7037;98920
7037;100780
7037;101140
7037;101030
7037;98750
7037;99060
7037;101280
7037;100280
7037;100680
7037;101230
7037;99100
7037;99900
7037;101030
7037;99010
7037;99620
7037;100820
7037;101850
7037;100750
7037;101440
7037;100180
7037;100310
7037;101750
7037;98620
7037;99190
7037;101130
7037;98800
7037;99120
7037;101150
7037;100380
7037;99660
7037;101830
7037;101750
7037;100530
7037;99080
7037;100740
7037;101340
7037;100410
7037;100440
7037;100570
7037;100140
7037;98750
7037;100770
7037;101400
7037;101500
7037;100530
7037;98670
7037;101160
7037;101620
7037;101740
7037;101640
7037;100930
7037;101830
7037;100650
7037;100420
7037;100500
7037;101650
7037;100440
7037;101810
7037;100580
7037;101360
7037;100650
7037;99130
7037;101150
7037;99310
7037;100090
7072;100130
7072;102190
7072;101770
7072;101670
7072;101300
7072;101240
7072;101220
7072;102000
7072;101820
7072;101380
7072;102140
7072;101450
7072;100100
7072;100710
7072;100450
7072;101410
7072;102030
7072;102360
7072;102380
7072;101050
7072;99870
7072;100390
7072;101010
7072;102040
7072;100260
7072;101510
7072;100990
7072;102450
7072;101440
7072;101670
7072;99950
7072;101470
7072;102170
7072;101490
7072;100260
7072;102030
7072;101720
7072;101490
7072;101790
7072;101710
7072;102510
7072;101370
7072;101610
7072;100320
7072;102250
7072;101400
7072;100220
7072;102090
7072;101960
7072;102340
7072;101470
7072;101250
7072;102230
7072;101530
7072;101570
7072;102450
7072;99990
7072;100190
7072;100770
7072;102220
7072;102000
7072;102050
7072;101620
7072;101770
7072;101420
7072;100100
7072;100180
7072;100730
7072;102220
7072;102260
7072;101950
7072;100000
7072;100190
7072;101860
7072;101740
7072;100070
7072;102110
7072;101650
7072;101990
7072;100640
7072;101130
7072;101470
7072;101210
7072;102160
7072;101560
7072;99950
7072;102400
7072;100800
7072;101190
7072;101470
7072;101890
7072;101220
7072;101570
7072;102010
7072;102560
7072;100450
7072;101540
7072;101840
7072;100280
7072;100270
7072;100180
7072;101400
7072;102520
7072;100960
7072;99850
7072;101930
7072;100190
7072;101100
7072;102310
7072;102080
7072;101110
7072;102330
7072;101260
7072;101380
7072;101700
7072;101380
7072;102520
7072;101840
7072;101060
7072;101450
7110;101410
7110;99770
7110;98770
7110;101540
7110;101730
7110;100910
7110;102500
7110;101420
7110;100770
7110;99060
7110;101350
7110;102730
7110;100080
7110;102710
7110;102570
7110;101880
7110;102630
7110;101130
7110;101630
7110;101080
7110;99260
7110;101290
7110;100990
7110;99350
7110;101970
7110;100510
7110;101320
7110;100760
7110;100850
7110;102560
7110;102160
7110;101330
7110;98920
7110;99030
7110;101620
7110;99780
7110;100450
7110;98870
7110;101490
7110;101200
7110;101390
7110;102010
7110;101540
7110;100080
7110;101650
7110;101470
7110;100670
7110;101450
7110;102020
7110;101320
7110;101320
7110;101760
7110;101680
7110;101010
7110;101330
7110;102460
7110;102150
7110;99870
7110;101240
7110;100090
7110;99010
7110;102420
7110;98870
7110;101500
7110;101850
7110;101000
7110;101280
7110;101670
7110;98790
7110;101010
7110;101350
7110;101090
7110;98980
7110;99680
7110;101910
7110;101260
7110;101650
7110;101230
7110;101320
7110;98810
7110;100630
7110;101300
7110;101220
7110;98960
7110;102370
7110;101370
7110;100810
7110;101420
7110;101530
7110;101680
7110;100780
7110;101320
7110;102630
7110;101350
7110;101040
7110;101780
7110;101500
7110;101550
7110;101610
7110;98890
7110;99640
7110;100520
7110;101890
7110;100340
7110;101870
7110;102530
7110;101470
7110;102070
7110;102730
7110;102670
7110;102620
7110;101520
7110;99030
7110;100340
7110;100800
7110;101120
7110;99180
7110;101150
7110;101370
7110;101150
7117;101200
7117;99470
7117;101120
7117;102020
7117;103140
7117;101460
7117;100930
7117;101600
7117;102280
7117;101580
7117;103050
7117;103150
7117;101890
7117;99210
7117;99250
7117;100020
7117;102840
7117;101620
7117;100270
7117;102570
7117;101850
7117;101920
7117;103090
7117;102960
7117;101860
7117;99310
7117;101680
7117;101680
7117;101750
7117;102130
7117;101780
7117;102020
7117;101440
7117;102140
7117;101770
7117;100510
7117;101450
7117;101650
7117;101680
7117;100930
7117;99460
7117;101580
7117;99430
7117;101490
7117;102010
7117;103050
7117;101990
7117;99160
7117;99310
7117;102250
7117;101760
7117;101730
7117;101760
7117;99410
7117;99570
7117;101190
7117;101330
7117;103100
7117;101670
7117;100070
7117;101990
7117;102220
7117;103150
7117;103000
7117;101970
7117;100220
7117;101730
7117;100630
7117;99670
7117;99340
7117;99180
7117;102470
7117;102280
7117;101980
7117;102040
7117;101730
7117;102350
7117;99640
7117;99440
7117;101220
7117;99930
7117;101320
7117;102910
7117;101850
7117;102320
7117;102500
7117;101900
7117;102020
7117;101530
7117;101270
7117;101190
7117;102110
7117;101740
7117;102450
7117;101950
7117;102120
7117;102720
7117;103130
7117;100480
7117;100790
7117;102280
7117;102490
7117;100030
7117;101770
7117;101110
7117;101370
7117;102080
7117;102940
7117;102610
7117;101890
7117;101710
7117;101950
7117;102060
7117;101720
7117;103000
7117;101560
7117;101270
7117;100740
7117;100740
7117;101420
7130;101200
7130;102450
7130;102870
7130;102390
7130;103360
7130;100320
7130;100050
7130;100110
7130;103340
7130;103320
7130;102120
7130;101790
7130;101880
7130;100650
7130;103140
7130;102980
7130;102390
7130;100930
7130;100160
7130;102490
7130;103040
7130;102080
7130;102730
7130;102180
7130;102080
7130;102820
7130;102150
7130;102520
7130;101660
7130;102220
7130;100610
7130;102180
7130;101190
7130;100970
7130;102170
7130;101730
7130;103430
7130;102390
7130;102990
7130;102910
7130;102310
7130;102820
7130;101280
7130;100380
7130;102350
7130;101830
7130;102420
7130;102160
7130;103450
7130;102010
7130;100170
7130;101410
7130;100140
7130;100040
7130;102780
7130;102700
7130;102100
7130;102420
7130;101850
7130;102950
7130;102150
7130;103200
7130;102600
7130;102250
7130;102320
7130;102290
7130;103320
7130;100230
7130;101750
7130;101490
7130;100780
7130;102060
7130;102330
7130;102180
7130;102180
7130;102330
7130;102440
7130;100330
7130;100270
7130;101570
7130;103420
7130;101960
7130;102470
7130;102280
7130;102480
7130;101930
7130;101840
7130;102210
7130;100390
7130;102220
7130;102210
7130;100800
7130;102050
7130;100240
7130;103400
7130;103400
7130;102360
7130;101840
7130;102360
7130;102430
7130;102620
7130;103200
7130;102390
7130;102270
7130;100410
7130;102260
7130;100540
7130;102160
7130;102830
7130;102050
7130;100390
7130;101660
7130;102030
7130;103450
7130;102360
7130;101370
7130;100150
7130;102390
7130;102070
7130;102270
7139;100280
7139;101190
7139;100640
7139;100880
7139;101900
7139;98910
7139;101110
7139;99200
7139;101170
7139;100590
7139;102020
7139;100800
7139;99220
7139;100920
7139;100450
7139;100900
7139;101520
7139;99100
7139;101270
7139;100840
7139;100830
7139;100260
7139;100910
7139;99260
7139;99350
7139;100930
7139;99030
7139;99820
7139;101250
7139;101970
7139;100820
7139;100980
7139;101130
7139;102020
7139;100990
7139;101000
7139;100090
7139;99760
7139;101340
7139;102000
7139;100440
7139;100940
7139;101030
7139;101540
7139;99570
7139;100900
7139;100860
7139;101960
7139;100690
7139;101110
7139;99260
7139;100610
7139;99330
7139;99260
7139;100520
7139;101850
7139;101540
7139;99990
7139;100870
7139;101200
7139;101000
7139;101650
7139;101590
7139;101470
7139;99280
7139;101010
7139;99000
7139;101670
7139;102020
7139;102000
7139;99710
7139;99130
7139;101090
7139;100990
7139;101960
7139;101350
7139;101590
7139;99500
7139;100310
7139;100830
7139;99380
7139;101560
7139;100730
7139;100500
7139;101000
7139;100600
7139;101690
7139;101170
7139;100710
7139;100760
7139;98870
7139;99800
7139;101100
7139;100930
7139;101210
7139;101310
7139;100790
7139;100260
7139;101340
7139;100320
7139;101070
7139;99090
7139;101150
7139;99170
7139;100830
7139;100750
7139;101780
7139;100700
7139;100850
7139;100830
7139;99060
7139;101010
7139;101970
7139;99410
7139;100600
7139;101250
7139;101740
7139;101220
7139;100750
7139;100550
7149;100460
7149;101530
7149;102120
7149;101530
7149;100670
7149;101110
7149;102430
7149;102540
7149;101310
7149;100170
7149;100890
7149;101310
7149;102100
7149;102320
7149;101800
7149;100410
7149;100180
7149;100270
7149;101410
7149;101960
7149;101440
7149;101610
7149;102650
7149;101590
7149;101770
7149;100500
7149;102040
7149;101270
7149;99830
7149;102350
7149;102270
7149;101550
7149;102570
7149;101240
7149;101730
7149;101710
7149;102320
7149;101790
7149;102400
7149;102600
7149;102620
7149;100820
7149;101660
7149;101860
7149;101650
7149;101110
7149;99970
7149;100070
7149;100670
7149;100150
7149;101520
7149;102290
7149;102530
7149;101490
7149;101030
7149;102510
7149;99960
7149;100190
7149;101280
7149;101620
7149;101800
7149;102440
7149;101670
7149;101460
7149;101140
7149;102540
7149;101750
7149;100220
7149;99800
7149;100050
7149;101510
7149;101210
7149;101560
7149;101650
7149;101450
7149;101290
7149;101710
7149;99940
7149;101570
7149;101090
7149;102610
7149;101900
7149;100110
7149;102080
7149;101560
7149;101490
7149;101390
7149;102620
7149;100210
7149;101950
7149;101490
7149;101930
7149;101990
7149;102220
7149;102320
7149;101320
7149;101570
7149;101750
7149;102200
7149;101410
7149;102030
7149;100980
7149;99920
7149;102030
7149;101620
7149;100120
7149;100460
7149;102040
7149;101770
7149;100060
7149;101560
7149;101930
7149;102120
7149;102060
7149;101650
7149;101550
7149;100230
7149;100180
7149;102230
7149;101940
7168;100070
7168;101360
7168;101340
7168;101100
7168;102190
7168;101480
7168;101950
7168;101380
7168;100980
7168;102070
7168;101690
7168;101150
7168;102260
7168;101530
7168;100050
7168;101770
7168;100000
7168;101500
7168;101410
7168;101320
7168;101970
7168;101210
7168;102160
7168;100590
7168;100210
7168;101840
7168;100910
7168;100050
7168;101640
7168;101540
7168;101350
7168;99890
7168;100100
7168;101230
7168;101860
7168;101180
7168;102250
7168;100570
7168;101440
7168;100160
7168;100170
7168;101100
7168;102160
7168;101330
7168;99950
7168;101240
7168;100080
7168;101940
7168;101250
7168;101060
7168;101220
7168;101720
7168;101440
7168;101670
7168;101460
7168;101250
7168;101150
7168;100580
7168;101320
7168;101630
7168;99950
7168;100630
7168;101070
7168;101720
7168;101740
7168;102010
7168;101370
7168;101760
7168;102250
7168;100110
7168;100010
7168;99840
7168;100910
7168;99830
7168;101480
7168;100070
7168;101820
7168;101390
7168;102270
7168;101040
7168;101710
7168;101340
7168;101810
7168;101730
7168;101270
7168;101330
7168;102000
7168;100160
7168;101110
7168;101560
7168;102180
7168;101570
7168;102290
7168;102040
7168;101420
7168;101000
7168;100720
7168;99950
7168;100310
7168;100910
7168;100320
7168;101890
7168;101370
7168;100120
7168;100810
7168;100170
7168;102130
7168;102080
7168;101580
7168;101430
7168;101550
7168;102230
7168;101150
7168;101880
7168;101350
7168;100320
7168;101480
7168;101810
7168;101800
7168;101520
7181;98840
7181;98560
7181;97810
7181;99010
7181;98970
7181;98730
7181;98790
7181;98640
7181;97390
7181;97580
7181;99010
7181;98120
7181;97320
7181;98380
7181;98800
7181;98920
7181;99370
7181;98830
7181;97300
7181;99210
7181;99290
7181;98820
7181;98470
7181;98960
7181;97400
7181;99080
7181;99050
7181;98480
7181;97610
7181;97820
7181;99140
7181;99200
7181;98920
7181;98770
7181;99090
7181;97550
7181;97680
7181;98720
7181;97560
7181;98730
7181;98740
7181;98660
7181;98410
7181;99360
7181;98440
7181;98330
7181;99120
7181;99460
7181;98430
7181;98680
7181;98030
7181;97570
7181;98770
7181;98540
7181;99030
7181;98410
7181;97610
7181;98610
7181;98990
7181;98710
7181;98580
7181;98380
7181;98570
7181;98920
7181;98150
7181;99250
7181;99290
7181;98760
7181;98500
7181;98320
7181;99450
7181;97460
7181;97620
7181;98020
7181;98040
7181;98450
7181;97510
7181;98840
7181;98680
7181;99060
7181;98990
7181;98930
7181;98490
7181;97440
7181;97690
7181;97510
7181;99230
7181;97770
7181;99500
7181;99280
7181;98550
7181;98730
7181;98730
7181;98800
7181;98250
7181;97420
7181;98960
7181;98670
7181;99100
7181;99020
7181;97630
7181;98690
7181;97750
7181;99030
7181;99300
7181;99420
7181;99460
7181;98040
7181;99120
7181;99450
7181;98660
7181;98580
7181;98600
7181;97570
7181;98310
7181;98860
7181;99270
7181;97510
7181;98250
7181;98750
7190;101210
7190;101570
7190;101360
7190;101810
7190;101110
7190;101050
7190;101530
7190;101040
7190;101030
7190;100360
7190;100370
7190;100290
7190;101550
7190;101540
7190;100980
7190;100570
7190;101290
7190;101540
7190;101450
7190;101320
7190;101140
7190;100050
7190;101470
7190;100150
7190;101330
7190;100070
7190;101400
7190;100560
7190;100700
7190;101010
7190;101340
7190;101540
7190;101370
7190;100820
7190;100870
7190;101040
7190;100370
7190;101240
7190;100940
7190;101310
7190;101400
7190;100180
7190;99850
7190;101050
7190;99810
7190;101340
7190;101600
7190;99970
7190;99860
7190;101880
7190;101270
7190;101200
7190;100890
7190;101780
7190;101690
7190;100530
7190;100790
7190;101610
7190;101490
7190;101300
7190;99800
7190;101080
7190;99960
7190;100140
7190;101140
7190;101020
7190;100550
7190;99700
7190;100020
7190;100900
7190;101630
7190;101170
7190;101250
7190;101520
7190;101850
7190;101030
7190;100860
7190;101030
7190;100090
7190;101030
7190;101180
7190;101460
7190;101320
7190;100760
7190;100630
7190;99850
7190;99770
7190;99950
7190;101790
7190;100730
7190;101380
7190;101230
7190;100960
7190;100820
7190;100700
7190;101480
7190;100650
7190;99910
7190;100200
7190;101150
7190;100030
7190;101240
